1,Xyauyù Barrel,www.beeradvocate.com/beer/profile/1675/88985/,Birrificio Le Baladin,www.beeradvocate.com/beer/profile/1675/,English Barleywine,www.beeradvocate.com/beer/style/152/,14,4.28,71,generic.png,
2,Xyauyù Etichetta Oro (Gold),www.beeradvocate.com/beer/profile/1675/58955/,Birrificio Le Baladin,www.beeradvocate.com/beer/profile/1675/,English Barleywine,www.beeradvocate.com/beer/style/152/,13.5,4.18,64,generic.png,
3,Duchessic Ale,www.beeradvocate.com/beer/profile/14046/53841/,Birra Del Borgo,www.beeradvocate.com/beer/profile/14046/,Saison / Farmhouse Ale,www.beeradvocate.com/beer/style/129/,5.9,4.12,316,generic.png,
4,Panil Barriquée  (Italy Version),www.beeradvocate.com/beer/profile/2467/18930/,Panil,www.beeradvocate.com/beer/profile/2467/,Flanders Red Ale,www.beeradvocate.com/beer/style/53/,8,4.12,152,generic.png,
5,Baciami Lipsia,www.beeradvocate.com/beer/profile/16043/117296/,Birrificio Del Ducato,www.beeradvocate.com/beer/profile/16043/,Gose,www.beeradvocate.com/beer/style/16/,6.5,4.04,70,generic.png,
6,Baciami Lipsia (Kiss My Lips),www.beeradvocate.com/beer/profile/16043/110001/,Birrificio Del Ducato,www.beeradvocate.com/beer/profile/16043/,Gose,www.beeradvocate.com/beer/style/16/,4.5,4.04,53,generic.png,
7,Panil Barriquée Riserva,www.beeradvocate.com/beer/profile/2467/60582/,Panil,www.beeradvocate.com/beer/profile/2467/,Flanders Red Ale,www.beeradvocate.com/beer/style/53/,8,4.03,47,generic.png,
8,My Antonia (Birra Del Borgo & Dogfish Head),www.beeradvocate.com/beer/profile/14046/53452/,Birra Del Borgo,www.beeradvocate.com/beer/profile/14046/,American Double / Imperial Pilsner,www.beeradvocate.com/beer/style/164/,7.5,3.99,337,generic.png,
9,Baladin Nora,www.beeradvocate.com/beer/profile/1675/4773/,Birrificio Le Baladin,www.beeradvocate.com/beer/profile/1675/,Herbed / Spiced Beer,www.beeradvocate.com/beer/style/8/,6.8,3.99,285,generic.png,
10,BeerBrugna,www.beeradvocate.com/beer/profile/23251/71970/,LoverBeer,www.beeradvocate.com/beer/profile/23251/,Fruit / Vegetable Beer,www.beeradvocate.com/beer/style/9/,6.2,3.98,104,generic.png,
11,Beersel Mattina,www.beeradvocate.com/beer/profile/16043/69719/,Birrificio Del Ducato,www.beeradvocate.com/beer/profile/16043/,Saison / Farmhouse Ale,www.beeradvocate.com/beer/style/129/,6.2,3.97,86,generic.png,
12,Verdi Imperial Stout,www.beeradvocate.com/beer/profile/16043/43161/,Birrificio Del Ducato,www.beeradvocate.com/beer/profile/16043/,Russian Imperial Stout,www.beeradvocate.com/beer/style/84/,8.2,3.97,243,generic.png,
13,Zona Cesarini,www.beeradvocate.com/beer/profile/19293/65327/,Birra Toccalmatto,www.beeradvocate.com/beer/profile/19293/,American IPA,www.beeradvocate.com/beer/style/116/,6.6,3.95,56,generic.png,
14,Quarta Runa,www.beeradvocate.com/beer/profile/14048/33171/,Birrificio Montegioco,www.beeradvocate.com/beer/profile/14048/,Belgian Strong Pale Ale,www.beeradvocate.com/beer/style/55/,7,3.94,47,generic.png,
15,Tipo Pils,www.beeradvocate.com/beer/profile/2304/7794/,Birrificio Italiano,www.beeradvocate.com/beer/profile/2304/,German Pilsener,www.beeradvocate.com/beer/style/41/,5,3.94,72,generic.png,
16,Panil Barriquée (Sour Version),www.beeradvocate.com/beer/profile/2467/33380/,Panil,www.beeradvocate.com/beer/profile/2467/,Flanders Red Ale,www.beeradvocate.com/beer/style/53/,8,3.94,375,generic.png,
17,Sedici Gradi,www.beeradvocate.com/beer/profile/14046/46811/,Birra Del Borgo,www.beeradvocate.com/beer/profile/14046/,American Barleywine,www.beeradvocate.com/beer/style/19/,16,3.91,17,generic.png,
18,Vùdù,www.beeradvocate.com/beer/profile/2304/21647/,Birrificio Italiano,www.beeradvocate.com/beer/profile/2304/,Dunkelweizen,www.beeradvocate.com/beer/style/91/,6,3.89,27,generic.png,
19,BeerBera,www.beeradvocate.com/beer/profile/23251/71308/,LoverBeer,www.beeradvocate.com/beer/profile/23251/,American Wild Ale,www.beeradvocate.com/beer/style/171/,8,3.89,96,generic.png,
20,Contessa,www.beeradvocate.com/beer/profile/15938/60747/,Birra Amiata,www.beeradvocate.com/beer/profile/15938/,American IPA,www.beeradvocate.com/beer/style/116/,6.9,3.89,77,generic.png,
21,Re Ale Extra,www.beeradvocate.com/beer/profile/14046/39607/,Birra Del Borgo,www.beeradvocate.com/beer/profile/14046/,American IPA,www.beeradvocate.com/beer/style/116/,6.2,3.88,173,generic.png,
22,Noël,www.beeradvocate.com/beer/profile/1675/15102/,Birrificio Le Baladin,www.beeradvocate.com/beer/profile/1675/,Belgian Strong Dark Ale,www.beeradvocate.com/beer/style/56/,9,3.87,119,generic.png,
23,Caos,www.beeradvocate.com/beer/profile/14046/89144/,Birra Del Borgo,www.beeradvocate.com/beer/profile/14046/,American Wild Ale,www.beeradvocate.com/beer/style/171/,7.5,3.85,57,generic.png,
24,Nuova Mattina,www.beeradvocate.com/beer/profile/16043/43926/,Birrificio Del Ducato,www.beeradvocate.com/beer/profile/16043/,Saison / Farmhouse Ale,www.beeradvocate.com/beer/style/129/,5,3.85,173,generic.png,
25,Rubus,www.beeradvocate.com/beer/profile/14046/50731/,Birra Del Borgo,www.beeradvocate.com/beer/profile/14046/,American Wild Ale,www.beeradvocate.com/beer/style/171/,5.8,3.84,202,generic.png,
